id,keywords
68,largescale multivariate data visualization hierarchical data exploration parallel coordinatesmultidimensional visualization dimension order visual clutter visual structuredimension ordering dimension spacing dimension filtering multidimensional visualization high dimensional datasetsradial spacefilling hierarchy visualizations multifocus distortion structurebased brushing nominal data visualization dimension reduction correspondence analysis quantification clustering classingbrushing hierarchical representation interactive selection exploratory data analysismultidimensional visualization pixeloriented multidimensional scaling high dimensional datasets
19,level of detail mesh decimation multiresolution
69,volume rendering implicit surface curvature convolutionbased differentiation nonphotorealistic rendering surface processing uncertainty visualization flowline curvaturevolume visualization direct volume rendering multidimensional transfer functions direct manipulation widgets graphics hardwarecolormaps color scales isoluminance brightness matching perceptuallybased visualizationflow visualization vortex analysis parametric topology cutting planes volume renderingvolumetric modeling inverse rendering volume rendering volume reconstruction planetary nebulae
70,volume rendering implicit surface curvature convolutionbased differentiation nonphotorealistic rendering surface processing uncertainty visualization flowline curvatureanisotropic diffusion surface fairing geometric surface processing intrinsic laplacian of curvature level sets
71,volume rendering implicit surface curvature convolutionbased differentiation nonphotorealistic rendering surface processing uncertainty visualization flowline curvatureanisotropic diffusion surface fairing geometric surface processing intrinsic laplacian of curvature level setsvolume visualization uncertainty classification risk analysis
72,volume rendering implicit surface curvature convolutionbased differentiation nonphotorealistic rendering surface processing uncertainty visualization flowline curvaturevisualization taxonomy classification design model user model conceptual modelvolume datacartesiangridclose packinghexagonal sampling body centered cubicinterpolation filters derivative filters filter design normal estimation taylor series expansion efficient volume renderingbody centered cubic lattice reconstruction optimal regular samplingvolume rendering splatting direct volume rendering resampling reconstruction antialiasing perspective projectionhealth display algorithms animations 4d visualization mri dynamic spect direct volume rendering isosurface glyphspectral volume rendering postillumination interactive relighting
73,statistical data graphics animation transitions information visualization design experimentinformation visualization animation trends design experimentgraphical visualization interactive information retrieval faceted metadatagraph layout network layout automatic layout algorithms usergenerated layout graphdrawing aestheticsblogs events trends time series topic detection and trackingonline fantasy sports tournament bracket picks adaptive tree visualization
74,network visualization matrix visualization hybrid visualization aggregation interactionsocial networks visualization nodelink diagrams matrixbased representations exploratory process matrix ordering interactive clustering consensus
75,network visualization matrix visualization hybrid visualization aggregation interactionvisual exploration visual queries visual analytics navigation multivariate data interactionliteracy visualization literacy rasch model item response theorybayesian reasoning base rate fallacy probabilistic judgment euler diagrams glyphs crowdsourcingvisual knowledge discovery visual knowledge representation sport analytics visual aggregationuncertainty visualization qualitative evaluation quantitative evaluation perceptiongenealogy visualization interactionvisualization interaction tabular data bertin crossing crossetsdesign information visualization dynamic visualization dynamic data data stream real time metaphorclustering graph visualization node duplications social networkssuggested interactivity perceived affordances information visualization for the people online visualizationinformation visualization text visualization sparklines glyphs design space wordscale visualizationsfocuscontext quantitative experiment dualscale chartsmultiscale large displays hybrid images collaboration visualizationmatrix visualizationvisual quality measuresquality metricsfeature detectionselectionrelational datainformation visualizationdata physicalizationtangible user interfacesscalabilitymulticlass scatterplotsdensity mapsaggregationdeclarative specificationvisualization grammarsocial network analysisnetwork visualizationclusteringmixedinitiativeprior knowledgeuser interfacescatterplotssamplingpyramidprogressive visualizationstreaming visualizationscalabilitybig data
76,network visualization matrix visualization hybrid visualization aggregation interactioninteractive graph drawing network layout attributedriven layout parallel coordinates scatterplot matrix radial menuinteractive graph drawing network layout radial menus marking menus hotbox biological networksdynamic networks hybrid visualization taxonomy evolution animation difference mapmultidimensional data tabular data relational data mdmv highdimensional data database visualization database overview parallel coordinates scatterplot matrix user interfaces business intelligence
77,spatiotemporal queries urban data taxi movement data visual explorationcomputational topology event detection spatiotemporal index urban data visual explorationornithology species distribution models multiscale analysis spatial data temporal datadata cubesdata modelingdimensionality reductioninteractive visualization
78,spatiotemporal queries urban data taxi movement data visual explorationvisualizationcolorchart understandinginformation extractionredesigncomputer visionsimilarity clustering matrix optimization climate modelfunction similarity computational topology species distribution models persistence high dimensional visualization
79,spatiotemporal queries urban data taxi movement data visual explorationsports visualization sports analytics baseball game reconstruction baseball metrics event data
80,spatiotemporal queries urban data taxi movement data visual explorationvisualization systems querybyexample analogycomputational topology event detection spatiotemporal index urban data visual explorationornithology species distribution models multiscale analysis spatial data temporal datascientific visualization dataflow visualization systemstransportation schedules kernel density estimation visual explorationautomatic machine learningpipeline visualizationmodel evaluation
81,spatiotemporal queries urban data taxi movement data visual explorationcomputational topology event detection spatiotemporal index urban data visual explorationisosurfaces histograms coarea formulatopologybased techniquesurban datavisual explorationsports visualization sports analytics baseball game reconstruction baseball metrics event datatransportation schedules kernel density estimation visual explorationtimevarying data graph wavelets stacked graph visualizationvisualization frameworkdata flowsubset flow modeltabular datawebbased visualization gene regulatory networknatural language interfacedataflow visualization systemvisual data explorationfunction similarity computational topology species distribution models persistence high dimensional visualizationmedical data visualizationvisual analytics applicationtime series datamultimodal databrachial plexus injuries
82,visualization scalar data user interfaces realtime quantitative queryscientific visualization scalar fields curves and surfaces vector topologyamr kd trees octree hierarchical splatting texture mapping
83,visualization scalar data user interfaces realtime quantitative querytopology multiresolution morse theoryscientific visualization scalar fields curves and surfaces vector topologyisosurfaces level set topology betti numbersviewdependent rendering isosurfaces multiresolution tetrahedal meshes multiresolution techniquesvisualization riemannian manifolds smooth functions timevarying data comparison measure differential formscritical point theory morsesmale complexes terrains simplification multiresolution data structure
84,visualization scalar data user interfaces realtime quantitative queryscientific visualization scalar fields curves and surfaces vector topologyeulerian flow material boundary surface barycentric coordinates volume fraction voronoi diagram
85,volume visualization direct volume rendering multidimensional transfer functions direct manipulation widgets graphics hardwarevolume rendering shading model volume modeling procedural modelingvolume rendering transfer functions multifield visualization
86,volume visualization direct volume rendering multidimensional transfer functions direct manipulation widgets graphics hardwarevolume rendering shading model volume modeling procedural modelingnonphotorealistic rendering volume rendering scientific visualization medical imagingvolume rendering transfer functions multifield visualizationvolume visualization uncertainty classification risk analysisvisualization systems hardware acceleration multivariate visualization volume renderingflow visualization vortex analysis parametric topology cutting planes volume renderingmultifield visualization visually accurate visualization weather visualizationvolumetric modeling inverse rendering volume rendering volume reconstruction planetary nebulae
87,typology visualization models task and requirements analysis qualitative evaluationdesign study investigative journalism task and requirements analysis text and document data text analysisinteractive visualization authoringchart layout designglyph designconstraintbased designreusable chart layoutdesign study design methodologies time series data task and requirements analysis coordinated and multiple viewscritical reflectionvisualization authoringexpressivitylearnabilityreusabilityevaluationgraphical perceptionmobile phonesrange visualizationcrowdsourcingevaluationgraphical perceptionmobile phonestrend visualizationanimationsmall multiplescrowdsourcinginformation visualisationtask analysiscodesigndashboardsdesign studyhealthcareinterviewsdesign probespresentationcommunicationcollaborationbusiness intelligencequalitative researchglyphsmultidimensional datagenerative designcommunicative visualizationsmall multiplesqualitative evaluation
88,streamgraph themeriver listening history lastfm aesthetics communicationminded visualization time series
89,display projection spatially immersive display panoramic image display virtual environments intensity blending imagebased modeling depth calibration autocalibration structured light camerabased registration
90,display projection spatially immersive display panoramic image display virtual environments intensity blending imagebased modeling depth calibration autocalibration structured light camerabased registrationlargeformat projection display camerabased registration and calibration
91,display projection spatially immersive display panoramic image display virtual environments intensity blending imagebased modeling depth calibration autocalibration structured light camerabased registrationlargeformat projection display camerabased registration and calibration
92,display projection spatially immersive display panoramic image display virtual environments intensity blending imagebased modeling depth calibration autocalibration structured light camerabased registration
93,display projection spatially immersive display panoramic image display virtual environments intensity blending imagebased modeling depth calibration autocalibration structured light camerabased registrationlarge area display tiled displays projector graphics color calibrationtelepresence teleimmersion virtual reality collaborative visualization immersive display augmented reality humancomputer interface
94,display projection spatially immersive display panoramic image display virtual environments intensity blending imagebased modeling depth calibration autocalibration structured light camerabased registrationlargeformat projection display camerabased registration and calibrationlarge area display tiled displays projector graphics color calibrationtelepresence teleimmersion virtual reality collaborative visualization immersive display augmented reality humancomputer interface
95,display projection spatially immersive display panoramic image display virtual environments intensity blending imagebased modeling depth calibration autocalibration structured light camerabased registration
96,display projection spatially immersive display panoramic image display virtual environments intensity blending imagebased modeling depth calibration autocalibration structured light camerabased registrationtelepresence teleimmersion virtual reality collaborative visualization immersive display augmented reality humancomputer interfaceaugmented reality ultrasound echography 3d medical imaging bsp tree
100,algorithms computer graphics virtual reality triangulated surfaces terrain visualization terascale visualizationtetrahedral grid refinement implicit surface approximation levelofdetail topological genus critical pointsmultiresolution triangulation realtime terrain visualization triangulated irregular networks levelofdetaillevelofdetail multiresolution modeling outofcore rendering interactive largescale visualizationpoint processing sequential processing normal estimation curvature estimation fairingtetrahedral meshes compression multiresolution models progressive incremental reconstruction
